applicant_id,first_name,last_name,gender,date_of_birth,phone_number,email,county_id,education_level,income_level,device_ownership,program_id,registered_at
1,Ann,Kombe,Female,1989-12-04,0760733754,annkombe373@gmail.com,4,TVET,Middle,1,1,2015-11-07
2,Fatuma,Kemunto,Female,1992-11-17,0768501429,fatumakemunto385@gmail.com,2,University,Low,1,1,2015-07-12
3,Grace,Musyoka,Female,1993-10-07,0740608835,gracemusyoka218@gmail.com,3,Secondary,Upper-Middle,0,1,2015-10-11
4,Diana,Kenga,Female,1991-11-14,0756482366,dianakenga619@gmail.com,3,Secondary,Middle,0,1,2015-05-13
5,Mishi,Kazungu,Female,1996-10-21,0757773872,mishikazungu540@gmail.com,2,Secondary,Low,0,1,2015-10-11
6,Zainabu,Njeri,Female,1990-04-05,0700379176,zainabunjeri417@gmail.com,1,University,Lower-Middle,0,1,2015-07-16
7,Sheila,Juma,Female,1988-07-08,0728708317,sheilajuma868@gmail.com,2,Primary,Lower-Middle,0,1,2015-09-20
8,Brenda,Otieno,Female,1998-09-14,0787277434,brendaotieno934@gmail.com,1,TVET,Lower-Middle,0,1,2015-05-15
9,Salma,Munga,Female,1995-02-05,0723623166,salmamunga427@gmail.com,1,Secondary,Lower-Middle,1,1,2015-07-13
10,Sheila,Juma,Female,1996-07-16,0705466889,sheilajuma977@gmail.com,5,University,Lower-Middle,1,1,2015-08-01
11,Ann,Mwangeka,Female,1989-08-05,0798069901,annmwangeka841@gmail.com,2,Secondary,Low,0,1,2015-01-09
12,Neema,Munga,Female,1993-05-25,0764170805,neemamunga879@gmail.com,2,Secondary,Low,0,1,2015-01-25
13,Lydia,Juma,Female,1989-04-05,0771937452,lydiajuma736@gmail.com,1,Secondary,Upper-Middle,0,1,2015-03-10
14,Mishi,Achieng,Female,1993-07-23,0731931491,mishiachieng793@gmail.com,1,TVET,Lower-Middle,1,1,2015-09-14
15,Janet,Munga,Female,1993-08-04,0765726284,janetmunga112@gmail.com,3,Secondary,Middle,0,1,2015-08-14
16,Neema,Kombe,Female,1988-05-15,0737996507,neemakombe950@gmail.com,4,University,Low,1,1,2015-05-11
17,Diana,Baya,Female,1987-09-07,0713678377,dianabaya669@gmail.com,1,Secondary,Low,1,1,2015-07-23
18,Joyce,Kioko,Female,1995-06-14,0118557444,joycekioko666@gmail.com,1,Secondary,Lower-Middle,1,1,2015-12-18
19,Mariam,Kazungu,Female,1994-05-24,0798941343,mariamkazungu856@gmail.com,6,Secondary,Low,0,1,2015-03-09
20,Mishi,Wambui,Female,1997-08-04,0709477752,mishiwambui229@gmail.com,1,University,Low,0,1,2015-02-27
21,Rose,Omondi,Female,1987-03-05,0794131869,roseomondi802@gmail.com,1,Secondary,Lower-Middle,0,1,2015-07-15
22,Rose,Masha,Female,1996-10-02,0791334123,rosemasha412@gmail.com,5,Secondary,Low,1,1,2015-08-23
23,Zainabu,Kenga,Female,1991-12-28,0771349361,zainabukenga823@gmail.com,3,Secondary,Lower-Middle,0,1,2015-03-03
24,Grace,Chebet,Female,1996-05-15,0717464887,gracechebet944@gmail.com,1,Secondary,Lower-Middle,0,1,2015-12-11
25,Zainabu,Njeri,Female,1996-10-01,0104902787,zainabunjeri956@gmail.com,3,University,Low,0,1,2015-11-27
26,Joyce,Masha,Female,1992-11-04,0725674680,joycemasha441@gmail.com,2,Secondary,Low,1,1,2015-07-28
27,Sharon,Odhiambo,Female,1993-01-07,0785977034,sharonodhiambo573@gmail.com,2,Secondary,Middle,1,1,2015-12-16
28,Grace,Kombe,Female,1989-05-18,0708613171,gracekombe826@gmail.com,1,Secondary,Low,0,1,2015-05-17
29,Purity,Kioko,Female,1994-09-05,0763982146,puritykioko349@gmail.com,3,Secondary,Middle,1,1,2015-01-10
30,Rose,Njeri,Female,1989-08-18,0775588675,rosenjeri601@gmail.com,3,University,Upper-Middle,1,1,2015-07-08
31,Neema,Chebet,Female,1998-07-13,0102702895,neemachebet584@gmail.com,4,University,Middle,1,1,2015-09-15
32,Agnes,Omondi,Female,1988-08-26,0745961586,agnesomondi258@gmail.com,1,University,Lower-Middle,0,1,2015-08-28
33,Zainabu,Omondi,Female,1991-04-24,0716117240,zainabuomondi800@gmail.com,2,Primary,Middle,1,1,2015-06-14
34,Rose,Njeri,Female,1989-03-06,0719693792,rosenjeri911@gmail.com,1,Secondary,Lower-Middle,0,1,2015-11-01
35,Mishi,Njeri,Female,1989-02-15,0759464743,mishinjeri659@gmail.com,5,University,Middle,1,1,2015-07-19
36,Sheila,Kenga,Female,1997-07-09,0709097439,sheilakenga122@gmail.com,2,TVET,Low,1,1,2015-05-22
37,Sharon,Mwashumbe,Female,1988-11-21,0704709521,sharonmwashumbe743@gmail.com,3,University,Low,1,1,2015-04-05
38,Joyce,Musyoka,Female,1991-03-09,0774517123,joycemusyoka613@gmail.com,4,University,Lower-Middle,0,1,2015-09-12
39,Salma,Odhiambo,Female,1994-06-22,0114965137,salmaodhiambo226@gmail.com,1,Primary,Middle,0,1,2015-10-08
40,Brenda,Wambui,Female,1997-07-04,0720047113,brendawambui409@gmail.com,3,University,Low,0,1,2015-11-24
41,Rose,Chebet,Female,1989-07-21,0717964053,rosechebet844@gmail.com,3,Secondary,Upper-Middle,0,1,2015-02-22
42,Janet,Mwadime,Female,1993-05-07,0717139005,janetmwadime162@gmail.com,2,Secondary,Low,0,1,2015-02-27
43,Mariam,Kombe,Female,1989-10-01,0742284210,mariamkombe436@gmail.com,4,Primary,Low,0,1,2015-10-11
44,Aisha,Chebet,Female,1995-02-24,0717758917,aishachebet531@gmail.com,1,Secondary,Upper-Middle,1,1,2015-11-17
45,Amina,Mwajuma,Female,1993-07-22,0717711592,aminamwajuma590@gmail.com,1,Primary,Low,0,1,2015-09-23
46,Christine,Kenga,Female,1995-10-14,0711836736,christinekenga564@gmail.com,2,Secondary,Lower-Middle,1,1,2015-02-11
47,Joyce,Mwashumbe,Female,1994-02-03,0711615280,joycemwashumbe803@gmail.com,2,Secondary,Lower-Middle,1,1,2015-02-14
48,Esther,Masha,Female,1998-01-10,0794519832,esthermasha988@gmail.com,2,Secondary,Low,1,1,2015-09-12
49,Zainabu,Masha,Female,1995-10-20,0108094024,zainabumasha965@gmail.com,1,TVET,Low,1,1,2015-01-06
50,Faith,Mwakio,Female,1998-11-01,0718366752,faithmwakio245@gmail.com,5,Secondary,Lower-Middle,0,1,2015-10-20
51,Mwanajuma,Kemunto,Female,1987-11-03,0747679764,mwanajumakemunto732@gmail.com,1,Secondary,Lower-Middle,1,1,2015-02-10
52,Christine,Njeri,Female,1987-04-13,0790034324,christinenjeri415@gmail.com,3,Secondary,Low,0,1,2015-07-06
53,Zainabu,Musyoka,Female,1997-06-03,0760607159,zainabumusyoka672@gmail.com,1,Secondary,Low,0,1,2015-05-04
54,Mwanajuma,Otieno,Female,1998-06-03,0761369681,mwanajumaotieno571@gmail.com,2,Secondary,Low,1,1,2015-06-25
55,Saumu,Musyoka,Female,1990-06-12,0112312432,saumumusyoka622@gmail.com,1,Secondary,Middle,0,1,2015-03-25
56,Rose,Kemunto,Female,1994-11-19,0109552717,rosekemunto693@gmail.com,3,Secondary,Low,1,1,2015-01-12
57,Brenda,Mwajuma,Female,1992-05-03,0101998679,brendamwajuma158@gmail.com,2,Secondary,Middle,0,1,2015-08-26
58,Grace,Kioko,Female,1989-01-15,0715182037,gracekioko613@gmail.com,2,University,Lower-Middle,0,1,2015-06-12
59,Esther,Munga,Female,1996-01-26,0105151864,esthermunga795@gmail.com,5,Secondary,Middle,0,1,2015-10-28
60,Sharon,Mwashumbe,Female,1991-11-23,0106291486,sharonmwashumbe458@gmail.com,1,Secondary,Low,1,1,2015-12-27
61,Cynthia,Musyoka,Female,1997-11-14,0785054235,cynthiamusyoka195@gmail.com,6,University,Lower-Middle,1,1,2015-03-05
62,Saumu,Musyoka,Female,1995-12-17,0705929622,saumumusyoka889@gmail.com,1,Secondary,Lower-Middle,0,1,2015-03-24
63,Sharon,Chebet,Female,1994-10-10,0117383473,sharonchebet343@gmail.com,2,Secondary,Upper-Middle,0,1,2015-08-25
64,Christine,Masha,Female,1990-10-05,0740758181,christinemasha265@gmail.com,1,Secondary,Middle,1,1,2015-09-05
65,Cynthia,Kombe,Female,1994-06-01,0760685361,cynthiakombe936@gmail.com,4,Secondary,Low,0,1,2015-12-21
66,Halima,Kenga,Female,1994-12-27,0727790104,halimakenga949@gmail.com,2,Secondary,Low,0,1,2015-10-17
67,Zainabu,Kenga,Female,1987-04-14,0109711798,zainabukenga224@gmail.com,2,Primary,Lower-Middle,1,1,2015-03-10
68,Zainabu,Achieng,Female,1989-11-22,0718518888,zainabuachieng526@gmail.com,2,Secondary,Low,0,1,2015-11-13
69,Amina,Mwadime,Female,1988-06-08,0111952058,aminamwadime907@gmail.com,6,Secondary,Lower-Middle,0,1,2015-11-15
70,Mwanajuma,Mwashumbe,Female,1998-08-02,0743030548,mwanajumamwashumbe164@gmail.com,6,Secondary,Middle,0,1,2015-01-25
71,Agnes,Kemunto,Female,1997-06-09,0715667652,agneskemunto148@gmail.com,3,Secondary,Lower-Middle,0,1,2015-09-09
72,Fatuma,Masha,Female,1989-09-10,0751154479,fatumamasha716@gmail.com,4,TVET,Low,1,1,2015-08-02
73,Grace,Masha,Female,1997-01-03,0106582029,gracemasha381@gmail.com,3,Secondary,Low,1,1,2015-04-25
74,Rose,Mwajuma,Female,1989-11-15,0755719285,rosemwajuma719@gmail.com,3,Secondary,Lower-Middle,1,1,2015-02-01
75,Faith,Odhiambo,Female,1991-05-23,0773947312,faithodhiambo220@gmail.com,3,University,Lower-Middle,0,1,2015-08-03
76,Neema,Njeri,Female,1998-02-18,0784422583,neemanjeri455@gmail.com,4,Primary,Low,1,1,2015-08-01
77,Brenda,Odhiambo,Female,1996-02-03,0746786691,brendaodhiambo232@gmail.com,2,Primary,Low,1,1,2015-08-22
78,Lydia,Kemunto,Female,1997-10-06,0726801824,lydiakemunto664@gmail.com,2,Secondary,Low,0,1,2015-06-17
79,Salma,Kazungu,Female,1995-05-05,0104981829,salmakazungu750@gmail.com,5,University,Low,0,1,2015-12-20
80,Halima,Juma,Female,1987-11-25,0794396907,halimajuma183@gmail.com,2,University,Lower-Middle,0,1,2015-05-16
81,Faith,Kenga,Female,1988-12-02,0727677359,faithkenga564@gmail.com,1,Primary,Middle,1,1,2015-06-13
82,Caroline,Mwandawiro,Female,1990-08-04,0747321046,carolinemwandawiro426@gmail.com,1,University,Low,0,1,2015-03-27
83,Neema,Kazungu,Female,1989-08-17,0777470168,neemakazungu881@gmail.com,2,Secondary,Low,0,1,2015-01-02
84,Lydia,Omondi,Female,1994-05-18,0701624565,lydiaomondi788@gmail.com,1,Primary,Low,0,1,2015-06-18
